[Gene ID]	[source_id]	[Min %ile (Within Chosen Samples)]	[Max %ile (Within Chosen Samples)]	[Gene Name or Symbol]	[gene_source_id]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 5]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 10]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 15]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 20]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 25]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 30]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 35]	[pfal3D7_Stunnenberg_pi_time_series [htseq-union - unstranded - fpkm] - Hour 40]	[scaled  - Hour 5]	[scaled  - Hour 10]	[scaled  - Hour 15]	[scaled  - Hour 20]	[scaled  - Hour 25]	[scaled  - Hour 30]	[scaled  - Hour 35]	[scaled  - Hour 40]	
PF3D7_0100100	PF3D7_0100100.1	25.5	25.5	VAR	PF3D7_0100100	3.28	2.12	2.89	3.45	5.2	2.63	3.86	13.44	0.21	0.11	0.19	0.62	3.35	2.34	3.86	6.23	
PF3D7_0100200	PF3D7_0100200.1	20.9	20.9	RIF	PF3D7_0100200	2.46	4.34	2.56	4.32	3.49	1.81	2.03	13.86	0.16	0.22	0.16	0.78	2.25	1.61	2.03	6.42	
PF3D7_0100300	PF3D7_0100300.1	4.2	4.2	VAR	PF3D7_0100300	0.13	0.52	0.32	0.17	0.1	0.11	0.12	0.21	0.01	0.03	0.02	0.03	0.07	0.09	0.12	0.1	
PF3D7_0100400	PF3D7_0100400.1	35.2	35.2	RIF	PF3D7_0100400	5.56	2.09	3.6	4.55	5.84	4.17	2	6.71	0.35	0.11	0.23	0.82	3.76	3.72	2	3.11	
PF3D7_0100500	PF3D7_0100500.1	27.1	27.1	N/A	PF3D7_0100500	3.64	0.8	0	0	0	0	1.25	2.52	0.23	0.04	0	0	0	0	1.25	1.17	
PF3D7_0100600	PF3D7_0100600.1	11.2	11.2	RIF	PF3D7_0100600	1.04	0.5	0.18	0.18	0.31	0.1	0.13	0.17	0.07	0.03	0.01	0.03	0.2	0.09	0.13	0.08	
PF3D7_0100700	PF3D7_0100700.1	0	0	N/A	PF3D7_0100700	0	0.44	0.48	0.96	0	0	0.34	0	0	0.02	0.03	0.17	0	0	0.34	0	
PF3D7_0100800	PF3D7_0100800.1	0	0	RIF	PF3D7_0100800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PF3D7_0100900	PF3D7_0100900.1	4.8	4.8	RIF	PF3D7_0100900	0.19	0	0.28	0.28	0.55	0.91	0.07	0	0.01	0	0.02	0.05	0.35	0.81	0.07	0	
PF3D7_0101000	PF3D7_0101000.1	4.8	4.8	RIF	PF3D7_0101000	0.19	0.17	0	0.18	0.15	0	0.13	0	0.01	0.01	0	0.03	0.1	0	0.13	0	
